

[174/10000] -  loss: 1588.242, mean of ED: 1.993
loss: 307.425, mean of ED: 2.111

[175/10000] -  loss: 1582.941, mean of ED: 1.989
loss: 307.403, mean of ED: 2.111

[176/10000] -  loss: 1577.843, mean of ED: 1.986
loss: 307.441, mean of ED: 2.111

[177/10000] -  loss: 1572.935, mean of ED: 1.983
loss: 307.532, mean of ED: 2.111

[178/10000] -  loss: 1568.208, mean of ED: 1.980
loss: 307.670, mean of ED: 2.112

[179/10000] -  loss: 1563.649, mean of ED: 1.977
loss: 307.850, mean of ED: 2.112

[180/10000] -  loss: 1559.249, mean of ED: 1.974
loss: 308.066, mean of ED: 2.113

[181/10000] -  loss: 1554.997, mean of ED: 1.972
loss: 308.312, mean of ED: 2.114

[182/10000] -  loss: 1550.885, mean of ED: 1.969
loss: 308.586, mean of ED: 2.115

[183/10000] -  loss: 1546.905, mean of ED: 1.967
loss: 308.880, mean of ED: 2.116

[184/10000] -  loss: 1543.048, mean of ED: 1.964
loss: 309.192, mean of ED: 2.117

[185/10000] -  loss: 1539.306, mean of ED: 1.962
loss: 309.517, mean of ED: 2.118

[186/10000] -  loss: 1535.672, mean of ED: 1.959
loss: 309.852, mean of ED: 2.119

[187/10000] -  loss: 1532.141, mean of ED: 1.957
loss: 310.193, mean of ED: 2.120

[188/10000] -  loss: 1528.704, mean of ED: 1.955
loss: 310.539, mean of ED: 2.121

[189/10000] -  loss: 1525.356, mean of ED: 1.953
loss: 310.885, mean of ED: 2.123

[190/10000] -  loss: 1522.091, mean of ED: 1.951
loss: 311.231, mean of ED: 2.124

[191/10000] -  loss: 1518.905, mean of ED: 1.949
loss: 311.575, mean of ED: 2.125

[192/10000] -  loss: 1515.791, mean of ED: 1.947
loss: 311.914, mean of ED: 2.126

[193/10000] -  loss: 1512.746, mean of ED: 1.945
loss: 312.249, mean of ED: 2.127

[194/10000] -  loss: 1509.765, mean of ED: 1.943
loss: 312.576, mean of ED: 2.128

[195/10000] -  loss: 1506.843, mean of ED: 1.941
loss: 312.896, mean of ED: 2.129

[196/10000] -  loss: 1503.976, mean of ED: 1.939
loss: 313.207, mean of ED: 2.131

[197/10000] -  loss: 1501.162, mean of ED: 1.937
loss: 313.509, mean of ED: 2.132

[198/10000] -  loss: 1498.396, mean of ED: 1.935
loss: 313.801, mean of ED: 2.133

[199/10000] -  loss: 1495.676, mean of ED: 1.934
loss: 314.081, mean of ED: 2.134

[200/10000] -  loss: 1492.997, mean of ED: 1.932
loss: 314.350, mean of ED: 2.134

[201/10000] -  loss: 1490.358, mean of ED: 1.930
loss: 314.605, mean of ED: 2.135

[202/10000] -  loss: 1487.756, mean of ED: 1.929
loss: 314.847, mean of ED: 2.136

[203/10000] -  loss: 1485.188, mean of ED: 1.927
loss: 315.075, mean of ED: 2.137

[204/10000] -  loss: 1482.651, mean of ED: 1.925
loss: 315.289, mean of ED: 2.138

[205/10000] -  loss: 1480.144, mean of ED: 1.924
loss: 315.488, mean of ED: 2.138

[206/10000] -  loss: 1477.665, mean of ED: 1.922
loss: 315.672, mean of ED: 2.139

[207/10000] -  loss: 1475.211, mean of ED: 1.920
loss: 315.841, mean of ED: 2.139

[208/10000] -  loss: 1472.781, mean of ED: 1.919
loss: 315.994, mean of ED: 2.140

[209/10000] -  loss: 1470.374, mean of ED: 1.917
loss: 316.131, mean of ED: 2.140

[210/10000] -  loss: 1467.986, mean of ED: 1.916
loss: 316.254, mean of ED: 2.141

[211/10000] -  loss: 1465.618, mean of ED: 1.914
loss: 316.361, mean of ED: 2.141

[212/10000] -  loss: 1463.267, mean of ED: 1.913
loss: 316.452, mean of ED: 2.142

[213/10000] -  loss: 1460.933, mean of ED: 1.911
loss: 316.529, mean of ED: 2.142

[214/10000] -  loss: 1458.615, mean of ED: 1.910
loss: 316.590, mean of ED: 2.142

[215/10000] -  loss: 1456.309, mean of ED: 1.908
loss: 316.637, mean of ED: 2.142

[216/10000] -  loss: 1454.018, mean of ED: 1.907
loss: 316.669, mean of ED: 2.142

[217/10000] -  loss: 1451.738, mean of ED: 1.905
loss: 316.687, mean of ED: 2.142

[218/10000] -  loss: 1449.470, mean of ED: 1.904
loss: 316.690, mean of ED: 2.142

[219/10000] -  loss: 1447.211, mean of ED: 1.902
loss: 316.679, mean of ED: 2.142

[220/10000] -  loss: 1444.963, mean of ED: 1.901
loss: 316.655, mean of ED: 2.142

[221/10000] -  loss: 1442.723, mean of ED: 1.899
loss: 316.616, mean of ED: 2.142

[222/10000] -  loss: 1440.492, mean of ED: 1.898
loss: 316.564, mean of ED: 2.142

[223/10000] -  loss: 1438.268, mean of ED: 1.896
loss: 316.499, mean of ED: 2.142

[224/10000] -  loss: 1436.051, mean of ED: 1.895
loss: 316.422, mean of ED: 2.141

[225/10000] -  loss: 1433.841, mean of ED: 1.893
loss: 316.332, mean of ED: 2.141

[226/10000] -  loss: 1431.636, mean of ED: 1.892
loss: 316.230, mean of ED: 2.141

[227/10000] -  loss: 1429.438, mean of ED: 1.890
loss: 316.117, mean of ED: 2.140

[228/10000] -  loss: 1427.244, mean of ED: 1.889
loss: 315.992, mean of ED: 2.140

[229/10000] -  loss: 1425.055, mean of ED: 1.887
loss: 315.857, mean of ED: 2.140

[230/10000] -  loss: 1422.870, mean of ED: 1.886
loss: 315.711, mean of ED: 2.139

[231/10000] -  loss: 1420.689, mean of ED: 1.885
loss: 315.555, mean of ED: 2.139

[232/10000] -  loss: 1418.512, mean of ED: 1.883
loss: 315.390, mean of ED: 2.138

[233/10000] -  loss: 1416.338, mean of ED: 1.882
loss: 315.215, mean of ED: 2.137

[234/10000] -  loss: 1414.168, mean of ED: 1.880
loss: 315.031, mean of ED: 2.137

[235/10000] -  loss: 1412.000, mean of ED: 1.879
loss: 314.838, mean of ED: 2.136

[236/10000] -  loss: 1409.835, mean of ED: 1.877
loss: 314.636, mean of ED: 2.135

[237/10000] -  loss: 1407.673, mean of ED: 1.876
loss: 314.426, mean of ED: 2.135

[238/10000] -  loss: 1405.512, mean of ED: 1.875
loss: 314.208, mean of ED: 2.134

[239/10000] -  loss: 1403.354, mean of ED: 1.873
loss: 313.982, mean of ED: 2.133

[240/10000] -  loss: 1401.198, mean of ED: 1.872
loss: 313.748, mean of ED: 2.132

[241/10000] -  loss: 1399.043, mean of ED: 1.870
loss: 313.507, mean of ED: 2.132

[242/10000] -  loss: 1396.890, mean of ED: 1.869
loss: 313.258, mean of ED: 2.131

[243/10000] -  loss: 1394.739, mean of ED: 1.867
loss: 313.003, mean of ED: 2.130

[244/10000] -  loss: 1392.589, mean of ED: 1.866
loss: 312.741, mean of ED: 2.129

[245/10000] -  loss: 1390.440, mean of ED: 1.864
loss: 312.472, mean of ED: 2.128

[246/10000] -  loss: 1388.292, mean of ED: 1.863
loss: 312.198, mean of ED: 2.127

[247/10000] -  loss: 1386.146, mean of ED: 1.862
loss: 311.917, mean of ED: 2.126

[248/10000] -  loss: 1384.001, mean of ED: 1.860
loss: 311.631, mean of ED: 2.125

[249/10000] -  loss: 1381.856, mean of ED: 1.859
loss: 311.339, mean of ED: 2.124

[250/10000] -  loss: 1379.713, mean of ED: 1.857
loss: 311.042, mean of ED: 2.123

[251/10000] -  loss: 1377.570, mean of ED: 1.856
loss: 310.740, mean of ED: 2.122

[252/10000] -  loss: 1375.428, mean of ED: 1.854
loss: 310.432, mean of ED: 2.121

[253/10000] -  loss: 1373.287, mean of ED: 1.853
loss: 310.120, mean of ED: 2.120

[254/10000] -  loss: 1371.147, mean of ED: 1.851
loss: 309.803, mean of ED: 2.119

[255/10000] -  loss: 1369.007, mean of ED: 1.850
loss: 309.482, mean of ED: 2.118

[256/10000] -  loss: 1366.868, mean of ED: 1.849
loss: 309.156, mean of ED: 2.117

[257/10000] -  loss: 1364.730, mean of ED: 1.847
loss: 308.827, mean of ED: 2.116

[258/10000] -  loss: 1362.592, mean of ED: 1.846
loss: 308.493, mean of ED: 2.114

[259/10000] -  loss: 1360.455, mean of ED: 1.844
loss: 308.155, mean of ED: 2.113

[260/10000] -  loss: 1358.318, mean of ED: 1.843
loss: 307.814, mean of ED: 2.112

[261/10000] -  loss: 1356.182, mean of ED: 1.841
loss: 307.469, mean of ED: 2.111

[262/10000] -  loss: 1354.046, mean of ED: 1.840
loss: 307.121, mean of ED: 2.110

[263/10000] -  loss: 1351.911, mean of ED: 1.838
loss: 306.770, mean of ED: 2.109

[264/10000] -  loss: 1349.776, mean of ED: 1.837
loss: 306.415, mean of ED: 2.107

[265/10000] -  loss: 1347.641, mean of ED: 1.836
loss: 306.058, mean of ED: 2.106

[266/10000] -  loss: 1345.508, mean of ED: 1.834
loss: 305.698, mean of ED: 2.105

[267/10000] -  loss: 1343.374, mean of ED: 1.833
loss: 305.335, mean of ED: 2.104

[268/10000] -  loss: 1341.242, mean of ED: 1.831
loss: 304.970, mean of ED: 2.102

[269/10000] -  loss: 1339.109, mean of ED: 1.830
loss: 304.601, mean of ED: 2.101

[270/10000] -  loss: 1336.977, mean of ED: 1.828
loss: 304.230, mean of ED: 2.100

[271/10000] -  loss: 1334.846, mean of ED: 1.827
loss: 303.857, mean of ED: 2.099

[272/10000] -  loss: 1332.714, mean of ED: 1.825
loss: 303.482, mean of ED: 2.097

[273/10000] -  loss: 1330.583, mean of ED: 1.824
loss: 303.104, mean of ED: 2.096

[274/10000] -  loss: 1328.453, mean of ED: 1.822
loss: 302.724, mean of ED: 2.095

[275/10000] -  loss: 1326.323, mean of ED: 1.821
loss: 302.342, mean of ED: 2.093

[276/10000] -  loss: 1324.194, mean of ED: 1.819
loss: 301.958, mean of ED: 2.092

[277/10000] -  loss: 1322.065, mean of ED: 1.818
loss: 301.572, mean of ED: 2.091

[278/10000] -  loss: 1319.937, mean of ED: 1.817
loss: 301.184, mean of ED: 2.089

[279/10000] -  loss: 1317.808, mean of ED: 1.815
